"","Title","Year","IMDb","Rotten.Tomatoes","provider","has_movie"
"338","It Comes at Night",2017,6.2,87,"Netflix",1
"339","Cuba and the Cameraman",2017,8.2,100,"Netflix",1
"340","Creep",2014,6.3,89,"Netflix",1
"341","The Interview",2014,6.5,52,"Netflix",1
"342","Bobby Robson: More Than a Manager",2018,8.2,100,"Netflix",1
"343","Outbreak",1995,6.6,59,"Netflix",1
"344","Black Snake Moan",2006,6.9,66,"Netflix",1
"345","Bright",2017,6.3,28,"Netflix",1
"346","Cargo",2017,6.3,85,"Netflix",1
"347","Even the Rain",2010,7.4,87,"Netflix",1
"348","Candyman",1992,6.6,74,"Netflix",1
"349","Mary and the Witch's Flower",2017,6.8,89,"Netflix",1
"350","Calibre",2018,6.7,93,"Netflix",1
"351","First They Killed My Father",2017,7.2,89,"Netflix",1
"352","Us and Them",2018,7.3,100,"Netflix",1
"353","Up in Smoke",1978,7,50,"Netflix",1
"354","Final Destination",2000,6.7,35,"Netflix",1
"355","Kill the Messenger",2014,6.9,77,"Netflix",1
"356","Operation Odessa",2018,7.8,100,"Netflix",1
"357","The American Meme",2018,7.3,100,"Netflix",1
"358","Outlaw King",2018,6.9,61,"Netflix",1
"359","21",2008,6.8,36,"Netflix",1
"360","Holding the Man",2015,7.4,81,"Netflix",1
"361","Krisha",2016,7.2,95,"Netflix",1
"362","De Palma",2016,7.4,94,"Netflix",1
"363","Dear Ex",2018,7.4,89,"Netflix",1
"364","Tomorrow Never Dies",1997,6.5,57,"Netflix",1
"365","Veronica",2017,6.2,88,"Netflix",1
"366","The Cakemaker",2017,7.2,98,"Netflix",1
"367","Instructions Not Included",2013,7.5,57,"Netflix",1
"368","Bleed for This",2016,6.8,69,"Netflix",1
"369","Girl",2018,7.2,84,"Netflix",1
"370","The Naked Gun 2½: The Smell of Fear",1991,6.9,57,"Netflix",1
"371","Bareilly's Barfi",2017,7.5,86,"Netflix",1
"372","The Sky Is Pink",2019,7.5,72,"Netflix",1
"373","Chitty Chitty Bang Bang",1968,6.9,67,"Netflix",1
"374","A Wednesday!",2008,8.1,NA,"Netflix",1
"375","Jodhaa Akbar",2008,7.6,75,"Netflix",1
"376","Handsome Devil",2017,7.1,83,"Netflix",1
"377","Love, Rosie",2014,7.2,33,"Netflix",1
"378","Oceans",2009,7.8,81,"Netflix",1
"379","The Ritual",2017,6.3,71,"Netflix",1
"380","Super Dark Times",2017,6.6,89,"Netflix",1
"381","Tallulah",2016,6.7,84,"Netflix",1
"382","Other People",2016,6.8,85,"Netflix",1
"383","Alpha Dog",2006,6.9,54,"Netflix",1
"384","Spectral",2016,6.3,75,"Netflix",1
